Site,Document title,Body,Location
https://timesofmalta.com/,"Unemployed man spent €300 daily on drugs, court told","Claudio Mallia, 40, unemployed of Valletta, was accused of aggravated possession of drugs and theft on Wednesday after police reported finding 60 sachets of heroin and cocaine in his car.A police patrol had stopped the vehicle in Valletta Road, Qormi, on suspicion that it was being driven without a licence. Their suspicions were confirmed.Prosecutors said during the arraignment said the drugs found in Mallia's car were not for personal consumption and could have served 60 customers. €1,200 in cash was found in the vehicle.They added that Mallia had also been linked to various service station thefts in Qormi and Luqa, and he also targeted a Qormi shop more than once.Mallia was also accused of causing wilful damage to third-party property and recidivism. He pleaded not guilty.A request for bail was objected to by the prosecution, who argued that this was not a first-time offender and he used to steal to finance his acute drug problem, spending around €300 daily on drugs. He was also an unruly character and there were fears of tampering with evidence.Defence lawyer Matthew Xuereb rebutted that the accused had cooperated fully with investigators and needed help and freedom so he could cure himself. Very frail point in life.Magistrate Marse-Ann Farrugia denied bail in view of the nature of the charges, the criminal record of the accused and the fact that proceedings were in an early stage and civilians still have to testify. Furthermore, there was no assurance that he would abide by bail conditions. Inspectors Clayton Camilleri and Mark Anthony Mercieca prosecuted. ",Qormi
https://timesofmalta.com/,How much does it cost the government to rent an ambulance for a day?,"Health authorities spend €2,500 a day to rent a private ambulance service, Deputy Prime Minister and Health Minister Chris Fearne told parliament on Tuesday.Fearne said that Mater Dei Hospital is paying a private ambulance service, which includes two ambulance respondents with each ambulance, to ensure it can provide an efficient ambulance service. “This costs around €2,500 a day, equivalent to three ambulances and six ambulance respondents daily,” he said. Fearne said the new ambulance contract is based on a leasing contract, which costs €1,705,500 per year and covers the cost of 11 ambulances on the road. He was replying to a parliamentary question asked by Opposition MP Charles Azzopardi.Fearne said the contract was awarded following a competitive process and the ambulances are designed specifically for the needs of the Maltese Health Service.He said the contractor may be liable for any negligence on his part which is not resolved in a short period of time. “These ambulances were gradually introduced to the emergency service, and part of the implementation includes extensive training to ambulance respondents and nurses for them to be able to use all the ambulance equipment.""Back in December, Fearne had announced the introduction of a new fleet of ambulances to be used by Mater Dei's emergency department. He said the new ambulances were “custom-made” for Malta and that they are now “like mobile ITUs”.Fearne had said around 100 calls for ambulances are received every day, amounting to more than 40,000 in a year.The new fleet was introduced a year after ambulance drivers raised their concerns about the working conditions and lack of investment in new vehicles.At the time, the workers and drivers claimed that ambulances being rented from Emergency Malta lacked a full equipment rack, with drivers scrambling to find missing parts from government-owned ambulances. They were informed the old vehicles would be removed and new ones leased, but this also got them questioning why the vehicles were to be leased.In 2020, Mater Dei Hospital's chief operating officer Steve Agius blamed the need for hiring private ambulances on an industrial dispute with union UĦM -Voice of the Workers. The union on the other hand disagreed with Agius and said the government wanted to shift the blame for the situation onto it, saying the government refused to negotiate a new collective agreement for Emergency Ambulance Responders, all while spending ""thousands"" to hire private ambulances.",Msida
https://timesofmalta.com/,Tunisie Telecoms boss appointed chairman of GO,"Local telecoms firm GO plc has appointed Lassaad Ben Dhiab as chairman of the company with immediate effect, the company said on Wednesday.Ben Dhiab has been an active board member of the company since May 2019. He succeeds Samir Saied, who quit in October 2021 after he was appointed economy minister in his native Tunisia. It is Ben Dhiab's second such appointment in as many months: in April, he was made chairman and chief executive of GO's majority shareholder, Tunisie Telecom, which acquired 65 per cent of GO in 2016. News of Ben Dhiab's appointment comes one week before the company holds its Annual General Meeting on May 25. A  telecommunications engineer who holds a Master's degree in physical sciences from the University of Sciences in Monastir, Ben Dhiab brings with him three decades  of experience in the telecoms sector. Commenting on his appointment, he said, “I am very proud to assume this new position at GO plc. I have worked alongside the board for the past three years and am confident that together we can continue to steer this company to even greater success that will continue to yield both returns for our shareholders, as well as continued value for our esteemed clients.”GO CEO Nikhil Patil welcomed the appointment. “Mr Dhiab brings with him a wealth of experience that am sure will contribute to our continued success,” he said. ",/
https://timesofmalta.com/,Moody's projects Malta's economy to grow by 6.2% this year,"Ratings agency Moody's has confirmed Malta's A2 negative.In a report issued late on Tuesday, it praised the country for the growth and divisification of its economy, adding that the negative outlook reflected a significant increase in the government's debt burden, as well as uncertainties tied to the broader economic recovery, particularly the recovery of the tourism sector. It also reflects the addition of Malta to the “grey list” of the Financial ActionTask Force (FATF) over concerns related to anti-money laundering supervision.The ratings agency had changed Malta's outlook from stable to negative in August last year.Last week, Fitch Ratings has affirmed Malta's Long-Term Foreign-Currency Issuer Default Rating (IDR) at 'A+' with a stable outlook.In its latest report, Moody's said that it expects the Maltese economy to grow by 4.2% of GDP in 2022, a relatively robust rate in light of the weakening economic outlook in Europe. Domestic consumption and investment will be important drivers of growth. The pace of economic expansion this year will also be dependent on the extent to which tourism arrivals in Malta begin approaching pre-pandemic levels.""Our forecast assumes that total tourist arrivals in 2022 will be roughly two-thirds of 2019 levels, having reached 35% of 2019 levels in 2021,"" it says. Although Malta's direct exposure to economic spillover effects from the Russia-Ukraine conflict is limited, the impact of the military conflict on growth and inflation across much of Europe risks also weighing on Malta's growth outlook for 2022, it adds.Inflation is estimated to have reached 4.9% in April, up from 2.6% in December 2021. Despite the increase,  Malta's current rate of inflation is among the lowest in the euro area and clearly below the 7.5% figure for the euro area as a whole in April, Moody's observes. It  said it expects the deficit will remain elevated in 2022 – but the debt burden is likely to stay below sixty percent of GDP.""The continued economic rebound and gradual phasing out of pandemic-related support measures will drive an improvement in the public finances this year,"" it says.It said it expects the government debt to stand at 59.5% of GDP at the end of 2022, markedly below its own August 2021 forecast of debt at 68.2% of GDP in 2022, due to much higher economic growth and a significantly lower deficit in 2021 than we had previously forecast.  As for Malta's greylisting by the intergovernmental Financial Action Task Force's (FATF), Moody's notes that the government has worked with the FATF and the Council of Europe's anti-money laundering body Moneyval to strengthen the effectiveness of its anti-money laundering regime.The efforts made by the Maltese government were recognized by FATF at its February 2022 plenary, when it was assessed that Malta had substantially completed its action plan. This was followed by an on-site visit by FATF and MoneyVal to Malta in April to verify that the implementation of the key reforms of the action plan were being implemented and sustained and that the political commitment to sustain implementation and further improvements remained in place. A formal decision on whether to remove Malta from the grey list could at the earliest come at the FATF plenary in June this year.The key measures adopted as part of Malta's action plan have focused on improving the accuracy of its beneficial ownership regime, enhancing the use of the Financial Intelligence Unit (FIU) in pursuing criminal tax and related money laundering cases, as well as increasing the focus of FIU's analysis on these types of issues.",
https://timesofmalta.com/,"80 jury trials pending in Maltese courts, some dating back 13 years","Eighty court cases are currently waiting to be tried by a jury in Maltese courts, the majority of which are stalled due to a variety of legal issues, figures tabled in parliament on Tuesday revealed. Some of these trials go as far back as 13 years, with one delayed court case dating back as far as February 2008. Justice Minister Jonathan Attard tabled the figures in a reply to a parliamentary question by Opposition MP Karol Aquilina. In Malta's justice system, jury trials are reserved for crimes that are deemed too serious to be heard before a court of magistrates. Attard said that of the 80 pending jury trials, eight have had a trial date fixed and are on course to be held, while another seven are awaiting a trial date. The remaining 65 cases, however, remain pending due to legal issues. In some cases, the minister said, the cases are subject to constitutional proceedings which must be concluded before the case can go to trial. In others, other related cases must be concluded first, or the cases are still in their preliminary stages. Delays in Maltese courts have been flagged as an area of major concern by the EU, with criminal, civil and administrative proceedings all taking longer to be completed than the EU average. Criminal cases in Malta take an average of 298 days to complete, more than double the EU median of 122 days. Delays are even longer for second-instance cases, which take an average of 534 days compared to the 104-day EU average.The government has acknowledged that the criminal justice system requires reform and last year then-Justice Minister Edward Zammit Lewis hinted that one option being considered is to do away with the compilation of evidence stage that comes prior to trial. Talks then began as to how to reform the criminal justice system, with sources telling Times of Malta that the intention is to remove certain parts of the compilation process, without doing away with it entirely. The Chamber of Advocates said earlier this year that those talks are “at an advanced stage”.",
https://timesofmalta.com/,Malta to face Venezuela in June 1 friendly at National Stadium,"The Malta national team will be facing Venezuela in an international friendly on June 1, the Times of Malta can confirm.The match will be played at the National Stadium and will kick off at 7pm.The Maltese team are currently stepping up their preparations ahead of the start of the UEFA Nations League qualifiers where they will be playing three matches in June.In fact, Devis Mangia's team will be facing San Marino on June 5 and then host the same San Marino and Estonia in the space of three weeks.This is the first time that Malta will be facing Venezuela in an international match.",
https://timesofmalta.com/,Historic' equal pay deal for US men and women soccer teams,"The US men's and women's national soccer teams will receive equal pay under a “historic” agreement announced by the US Soccer Federation on Wednesday, following years of pressure from female national players.The move makes the federation the first in the world to equalize World Cup prize money awarded to men's and women's teams, it said.“This is a truly historic moment. These agreements have changed the game forever here in the United States and have the potential to change the game around the world,” said US Soccer president Cindy Parlow Cone.Continue reading this article on Sports Desk. ",
https://timesofmalta.com/,Girmay pulls out of Giro with eye injury after cork mishap,"Eritrea's Biniam Girmay pulled out of the Giro d'Italia with a left eye injury he suffered after being hit by a prosecco cork while celebrating an historic stage victory, his team Intermarche said on Wednesday.Girmay became the first black African to win on any of cycling's three grand tours after claiming the honours on Tuesday's 10th stage of this year's race, between Pescara and Jesi.Intermarche's team doctor Piet Daneels said tests showed “haemorrhage in the anterior chamber of the left eye”.“In consultation with the medical and sport staff, the decision has been made that Biniam Girmay will not take part any longer in this Giro d'Italia, which he is leaving with a stage victory, a second place and three other top five finishes,” Intermarche said in a statement.",
https://timesofmalta.com/,Roofe gives Rangers cover for Europa League final,"Rangers will have striker Kemar Roofe fit for Wednesday's Europa League final in a major boost for the Scottish side's hopes of a first European trophy in 50 years.Roofe has not played since helping Rangers beat Celtic in the Scottish Cup semi-finals on April 17, after picking up a knee injury.The Jamaican international returned to full training earlier this week and is fit for selection.“Kemar is available. He trained for the first time with us yesterday. He had individual training before that and he will be training later,” . Rangers manager Giovanni Van Bronckhorst confirmed at his pre-match press conference on Tuesday.“He will be in the squad and if I want to use him he is available.”",
https://timesofmalta.com/,Hot-headed Indian wrestler cops life ban for punching ref,"An Indian wrestler has been banned for life after punching a referee as tempers boiled over in a sweltering New Delhi arena with no air-conditioning during an intense heatwave.Satender Malik was sweating it out in the 125kg (175 pound) class during trials on Tuesday for this year's Commonwealth Games in Birmingham when the referee ruled in favour of his opponent.Seething with anger and covered in sweat, Malik stormed across the mat, shouted expletives at referee Jagbir Singh and punched him in the face.  “Never before has such a thing happened,” Vinod Tomar, an official with the Wrestling Federation of India, told AFP. ",
