title,date,body,location,entities
PN submits new information exposing ‘fraud and collusion’ in hospitals deal,"May 18, 2023 11:54 AM",The Nationalist Party today submitted in court new information it received from a whistleblower involved in the hospitals ’ concession agreement which MP Mark Anthony Sammut said revealed further “ fraud and collusion between public officials and businesspeople ” Sammut together with PN leader Bernard Grech and three other Opposition MPs submitted four volumes of documentation to Magistrate Gabriella Vella who is leading the inquiry into the hospitals deal This comes after a damning NAO report found that disgraced former prime minister Joseph Muscat and former minister Konrad Mizzi misled the Cabinet of ministers over various aspects of the concession deal The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “ fraudulent ” Moreover new revelations published yesterday showed that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH On Thursday Sammut presented a court application which was signed by PN MPs Karol Aquilina and Joe Giglio Addressing a press conference outside the Valletta courthouse Sammut said the documents include the testimony of the whistleblower copies of agreements that were signed in the deal and copies of emails and chats between representatives of Steward Healthcare and VGH Labour government exponents highranking officials within the government government legal consultants and highranking officials with the public sector Sammut added that this person is also ready to come forward and testify before the inquiring magistrate Explaining that he received the new information in recent days Sammut added that the evidence shows that there was “ fraud collusion between politicians public officials and businessmen threats and false declarations ” “ This is the first time that a person who knew what was happening has stepped forward and given this information to be used to seek the truth ” PN leader Bernard Grech urged anyone who is privy to information on the fraudulent hospitals deal to come forward While pointing out that court was “ the last standing bastion of democracy in Malta ” Grech lashed out at Police Commissioner Angelo Gafá for failing to take criminal action against individuals involved in the concession,['Valletta'],"[(1329, 1337, 'LOC')]"
"‘No one believes you’ on hospitals fiasco, Grech tells Labour MPs","May 17, 2023 7:43 PM",Nationalist Party leader Bernard Grech insisted on Wednesday that no one believed what the Labour Party in government was saying on the hospitals concession granted to Vitals passed on to Steward and cancelled by the courts not least since the latest revelations saw the key protagonists openly contradict each other Grech and other PN MPs starting with Adrian Delia completely disregarded the agenda of Wednesday ’ s parliamentary sitting instead focusing solely on hospitals concession following revelations made by the Times and the Shift in collaboration with the Organised Crime and Corruption Reporting Project including that former PM Joseph Muscat received money from a firm that was previously called VGH Europe – an apparent reference to Vitals Global Healthcare A few minutes into Delia ’ s speech – the televised broadcast does not make clear whether he did so of his own accord or in response to informal complaints from the government benches – deputy speaker and PN MP David Agius reminded Delia that the standing orders governing Parliament had not changed and that these required MPs to ensure that their speeches were on topic Delia was undeterred and continued speaking out of order prompting complaints from MP Edward Zammit Lewis which drew a pointed reply from Agius who recalled that PM Robert Abela similarly ignored parliamentary procedure to react to a damning National Audit Office report on the hospitals deal before the public could properly read it “ I acted as the Speaker had done two days ago with respect to the prime minister and everyone who spoke after him whose address was not relevant to the agenda of the day ” he said before telling Delia that he may continue his address Grech said that the Maltese “ are living in surreal times ” having to deal shocking revelations while the key government figures were nowhere to be seen He repeatedly highlighted that only a few government MPs were present in the chamber He said that he was not addressing parliament to explain how the hospitals deal was the “ greatest fraud that has ever happened in this country ” that Abela has lied and that his government was preventing the country ’ s institutions from doing their duty All of these he said were “ a known fact ” Instead he said looking straight at the cameras he wished to tell address those “ who long for hope in politics and who have a right to hope ” including the Labourites “ who believed you ” he added turning his face to the government benches “ Those who had a dream and hoped that this country would move forward only to see you deliver a nightmare instead ” he continued The PN leader also said that the latest revelations continue to show why Abela was the chosen successor of Muscat maintaining that Muscat needed someone to ensure the “ continuity ” that Abela had promised when he became prime minister “ It is no wonder that Muscat needed Robert Abela to be his puppet so that he could continue doing as he pleases ” he said But in this context Grech emphasised Abela was no victim not least because he was well aware of what he was getting into Grech recalled – as Delia had done earlier in the day – that in the Labour leadership election that saw him prevail over Chris Fearne Abela had maintained that his role as Muscat ’ s consultant saw him keep an eye on the goingson of every minister Grech also called out Fearne insisting that the health minister could not escape the responsibilities he had concerning the deal He said that Fearne “ knows he was a participant and an enabler he knew what was going on and failed to lift a finger to stop the theft that was taking place ” Both Fearne and Abela were well aware that Steward were not doing what they were obliged to he later added but they still continued giving it generous amounts of public funds The discussion – which was ostensibly on a bill which would see offences introduced through the latest cannabis reform handled by commissioners for justice rather than the courts – was wound down by justice minister Jonathan Attard who ended up devoting much of his speech to respond to the PN MPs who spoke out – particularly Grech and Delia In doing so Attard repeatedly indulged in an argument his party is fond of making the claim that the PN is split in two camps one backing Grech and the other Delia “ The only surreal thing in here… is the opposition leader whose days are numbered ” Attard insisted References to Delia prompted the MP to protest loudly prompting Attard to make a pointed remark at the former opposition leader “ I know that Delia believes that this is his moment of glory that he can be reintegrated in the party after his own friends kicked him out but he is mistaken ” the minister maintained The remark predictably did not help calm things down leading Agius to briefly suspend the sitting Attard also insisted that the opposition was holding the country hostage before concluding his speech by referring to the bill that parliament should have discussed,"['Attard', 'Attard', 'Attard', 'Attard', 'Attard']","[(4039, 4045, 'LOC'), (4169, 4175, 'LOC'), (4406, 4412, 'LOC'), (4486, 4492, 'LOC'), (4833, 4839, 'LOC')]"
PA starts demolishing illegal development in Pietà,"May 17, 2023 3:28 PM",The Planning Authority started removing illegal development adjacent to the Pietà Bocci Club which is located within a Grade 1 scheduled area on Wednesday morning The illegalities are subject to multiple enforcement notices and consist of excavations and unauthorised extensions to the existing building within parts of the scheduled military glacis In a statement the PA said the contravener not only ignored its enforcement notices and warnings but also carried out further illegal works “ The Authority stepped in to start removing these illegal extensions at the full expense of the contravener ” Prior to the operation the PA liaised with the Superintendence of Cultural Heritage SCH to ensure that the remedial works are carried out in a manner not to cause further damage to the scheduled area Due to the sensitivity of the operation and the difficult access to the site most of the works are being carried out manually The authority is being assisted by members of the Police Force,['Pietà'],"[(76, 81, 'LOC')]"
Muscat revelations ‘textbook case of money laundering’ – Repubblika,"May 17, 2023 2:13 PM",Anticorruption NGO Repubblika has once again asked an inquiring magistrate to consider issuing an order for the arrest of people involved in the fraudulent hospital concession deal before they can flee the country and justice In a press conference outside the courthouse in Valletta Repubblika president Robert Aquilina said that the NGO filed an application demanding the inquiring magistrate to include the latest revelations published on Wednesday The application filed by lawyer Jason Azzopardi also asks the magistrate to consider ordering the arrest of people involved in the deal with Aquilina reiterating that Repubblika is informed that “ at least one or a number of people implicated in fraud corruption and other crimes that carry hefty sentences are making detailed preparations and possibly already putting in action plans to flee the country to dodge justice ” Accusing disgraced former prime minister Joseph Muscat of “ criminal association to launder money originating from corruption ” Aquilina described it as a “ textbook case of money laundering ” Muscat ’ s income declarations and bank accounts have been analysed by financial investigators in a corruption probe into the hospitals ’ deal which was requested by Repubblika in 2019 According to documents obtained by the Organised Crime and Corruption Reporting Project and shared with their partners in Malta – The Shift and The Times of Malta investigators are looking into payments Muscat received from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “ fraudulent ” Aquilina said that the latest revelations show that Muscat granted a concession to VGH and these public funds were then passed on to a Swiss firm – Accutor AG – which in turn paid the former prime minister and another VGH investor “ This gives off a very strong whiff of money laundering it seems that it is a textbook case of money laundering ” Aquilina said According to The Times police commissioner Angelo Gafá has resisted carrying out any arrests before the ongoing magisterial inquiry into the deal has been concluded and all the evidence gathered during the fouryear probe handed to the police The investigations are largely being led by a team of local and foreign experts assembled by inquiring magistrate Gabriella Vella In this regard Aquilina said the police chief “ is the biggest obstacle for justice to prevail in our country ” “ From what we have found out this morning not only is Gafá is failing to fulfil his duties as police chief but he is also hindering magistrates who are carrying out their job in full respect of their oath ” He added that hours after the publication of these revelations Gafá has “ remained silent and has not denied anything ”,['Valletta'],"[(274, 282, 'LOC')]"
PN submits new information exposing ‘fraud and collusion’ in hospitals deal,"May 18, 2023 11:54 AM",The Nationalist Party today submitted in court new information it received from a whistleblower involved in the hospitals ’ concession agreement which MP Mark Anthony Sammut said revealed further “ fraud and collusion between public officials and businesspeople ” Sammut together with PN leader Bernard Grech and three other Opposition MPs submitted four volumes of documentation to Magistrate Gabriella Vella who is leading the inquiry into the hospitals deal This comes after a damning NAO report found that disgraced former prime minister Joseph Muscat and former minister Konrad Mizzi misled the Cabinet of ministers over various aspects of the concession deal The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “ fraudulent ” Moreover new revelations published yesterday showed that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH On Thursday Sammut presented a court application which was signed by PN MPs Karol Aquilina and Joe Giglio Addressing a press conference outside the Valletta courthouse Sammut said the documents include the testimony of the whistleblower copies of agreements that were signed in the deal and copies of emails and chats between representatives of Steward Healthcare and VGH Labour government exponents highranking officials within the government government legal consultants and highranking officials with the public sector Sammut added that this person is also ready to come forward and testify before the inquiring magistrate Explaining that he received the new information in recent days Sammut added that the evidence shows that there was “ fraud collusion between politicians public officials and businessmen threats and false declarations ” “ This is the first time that a person who knew what was happening has stepped forward and given this information to be used to seek the truth ” PN leader Bernard Grech urged anyone who is privy to information on the fraudulent hospitals deal to come forward While pointing out that court was “ the last standing bastion of democracy in Malta ” Grech lashed out at Police Commissioner Angelo Gafá for failing to take criminal action against individuals involved in the concession,['Valletta'],"[(1329, 1337, 'LOC')]"
Muscat received payments from Swiss firm that was previously called VGH Europe,"May 17, 2023 10:12 AM",Tista ' taqra bil Malti Disgraced former prime minister Joseph Muscat received two payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group This has emerged from the corruption probe into Muscat as part of an investigation into potential corruption related to the Vitals Global Healthcare VGH deal The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “ fraudulent ” Muscat ’ s income declarations and bank accounts have been analysed by financial investigators in a corruption probe linked to the hospitals ’ deal according to documents obtained by the Organised Crime and Corruption Reporting Project and shared with their partners in Malta – The Shift and The Times of Malta Investigators are probing whether a potentially bogus consultancy contract was drawn up to justify the €60000 in consultancy payments Muscat received from SpringX Media and Accutor Consulting which used to be called VGH Europe Although Muscat denies any link between the payments and Vitals the company ’ s name was changed to Accutor Consulting AG in January 2018 just before Steward Healthcare took over the hospitals ’ concession from VGH Muscat was paid a total of €60000 to his Bank of Valletta account in 2020 the first payment taking place just two months after he stepped down in January of that year The former prime minister received four monthly payments two from Accutor AG and two from Spring X Media another Swiss firm run by the same owner – Pakistani businessman Wasay Bhatti Spring X Media is registered at the same Swiss address as Accutor AG and the two companies carried out transactions between each other The Accutor AG payments to Muscat were made under the terms of an indefinite consultancy contract drawn up between himself and Spring X Media in February 2020 just one month after he resigned Despite the indefinite nature of the consultancy contract signed when Muscat was still an MP the payments ended abruptly in the summer of 2020 The contract was to earn Muscat €15000 a month for three years for a total of €540000 It was also to be automatically renewed for another three years before it was suddenly stopped after four monthly payments when Accutor went out of business Muscat ’ s residence was searched by police in January 2022 as a result of an inquiry anticorruption NGO Repubblika requested in 2018 But Muscat denied that the search had anything to do with his Accutor contract or suspicions that it was bogus and merely a vehicle to receive kickbacks from the hospitals ’ deal Likewise the reports say that former minister Konrad Mizzi ’ s home has also been searched as part of the probe and had his smartphone confiscated by police Transactions of Accutor AG the Swiss payroll company that played a key role in funnelling funds from VGHSteward and Bluestone show that the companies sent at least €7 million to Accutor which then directed payments toward VGH directors and behindthescenes investors According to his 2020 tax return Muscat declared an income of almost €482000 from various consultancy work in the year he resigned as prime minister The earnings were covered by a flurry of consultancy contracts Muscat signed in the weeks and months after resigning Following an unprecedented political and institutional crisis Muscat announced his resignation in December 2019 but actually resigned in January 2020 Muscat baulked under the pressure of weeks of protests following the the emergence of alleged links between government officials and the 2017 assassination of investigative journalist Daphne Caruana Galizia and the arrest of Yorgen Fenech Fenech is awaiting a trial after being accused of masterminding the murder Moreover his Dubairegistered company 17 Black allegedly intended to funnel money to two Panama companies belonging to then energy minister Konrad Mizzi and Muscat ’ s right hand man Keith Schembri According to The Times prime minister Robert Abela is wary of the inquiry ’ s outcome as he is concerned that highprofile arrests and possible prosecutions could throw the Labour Party into disarray Sources said police commissioner Angelo Gafá has resisted carrying out any arrests before the ongoing magisterial inquiry into the deal has been concluded and all the evidence gathered during the fouryear probe handed to the police Moreover the investigations are largely being led by a team of local and foreign experts assembled by inquiring magistrate Gabriella Vella According to the reports Muscat claimed that he had been introduced to Bhatti “ years back ” by his former chief of staff Keith Schembri and that Bhatti got in touch with him “ after I announced my resignation ” “ Strongly refuting ” the allegations about the contract Muscat insisted that he has “ carried out legitimate and documented work in connection with my contract ” However when asked to provide any such documented evidence Muscat refused saying “ It is evidence that shows the projects I have been working on and meetings held “ I do not believe I should divulge them beyond making them available to the competent authorities ” Nor would Muscat confirm that his contract had been terminated after four payments but he insisted that “ everything was carried out accordingly ”,['Valletta'],"[(1482, 1490, 'LOC')]"
Occupy Justice demands reopening of Egrant inquiry,"May 17, 2023 9:39 AM",Activists from Occupy Justice staged a protest outside Castille on Tuesday evening calling for the Egrant inquiry to be reopened “ The reopening of the Egrant Inquiry is long overdue You should be beyond ashamed of yourselves for ignoring this History will not be kind to you for betraying those you were duty bound to serve and protect Take action or resign ” the activists warned Robert Abela ’ s administration In September 2021 Magistrate Ian Farrugia called for the reopening of Egrant inquiry However to date the Attorney General has failed to take any action In spite of recent revelations regarding the Egrant Inquiry and all the dirty manoeuvres by Pilatus Bank officials and employees Occupy Justice said “ there hasn ’ t been so much as a peep of action from the Floriana Police Depot or the Attorney General ’ s office ” The magisterial inquiry into Pilatus Bank ordered that the Egrant inquiry be reopened after finding reasonable suspicion that 11 million were transferred from Azerbaijan to an account at Pilatus Bank through a parallel and secretive accounting system Murdered journalist Daphne Caruana Galizia had claimed that Egrant was owned by former Prime Minister Joseph Muscat ’ s wife Michelle and the company received a payment of US1017 from Leyla Aliyeva daughter of Azerbaijan ’ s president Ilham Aliyev The Muscats vehemently deny these allegations An inquiry ordered by Muscat had found no evidence linking him and his wife to the secret Panama company but the owner remains unknown to this day “ Whilst they ’ re dragging their feet and coming up with excuses to justify their inaction making sure that justice is delayed criminals roam free and are gifted years of a headstart to cover their tracks It seems that our institutions are spinelessly hell bent in protecting fraudsters and corrupt individuals instead of investigating them ” Occupy Justice said Reminding finance minister Clyde Caruana that on 1 November 2019 he pledged to make available all necessary resources should there be ‘ a request ’ to reopen the Egrant Inquiry Occupy Justice said “ that request was made by Magistrate Ian Farrugia who called for it to be reopened The Attorney General was legally obliged to comply with Magistrate Farrugia ’ s order Instead this was ignored – not that we ’ ve come to expect better from this office ” “ Well here we are making the request again We ’ re also demanding that this time round the terms for the Inquiry are not drafted by the prime suspect in the case It is laughable that this happened in the first place ” They added that the contempt with which the Labour administration has treated the Maltese people for these past ten years is unprecedented “ using its privilege and power to shield those who should have faced justice years ago All this makes us wonder as to who is really pulling the strings ”,['Floriana'],"[(774, 782, 'LOC')]"
New Magħtab ‘hill’ a temporary stockpile of material awaiting reuse – WasteServ,"May 17, 2023 7:00 AM",A new ‘ hill ’ of construction waste that has emerged in the area of the Magħtab landfills recently is merely a temporary stockpile of excavation material that is to be reused by the construction industry WasteServ has confirmed Newsbookcommt sought comments from the national entity responsible for waste collection and management after photographs of the area revealed the existence of what appeared to be two new “ hills ” at the periphery of the existing landfill giving the impression that the complex of landfills was taking up additional areas A WasteServ spokesperson however assured that this was not the case She clarified that only one of the two mounds of excavation material – waste from the construction industry has long represented the vast majority of the waste that ends up in Malta ’ s landfills – was actually new Though its appearance may be deceiving one of them is actually the existing Żwejra engineered landfill which opened in 2004 when the original Magħtab dump was closed originally as a stopgap while the larger Għallis engineered landfill started receiving waste The spokesperson explained that its surface had just been recovered to create a more stable platform this obviously made it appear new since the vegetation that had grown on the existing surface had been covered over In fact she added similar work was taking place on one of the sides of the Magħtab landfill which is not visible from the Għargħur vantage point the above photo was taken from “ Such landfill stabilisation is important not only to ensure physical stability but also to limit negative environmental impacts and to channel gas to the preexisting hotspots for extraction and energy production ” she explained On the other hand the other “ hill ” is a recent addition and lies outside of the sizeable area managed by WasteServ However the material within comes from an excavation within WasteServ sites While much of Malta ’ s construction waste over the years has ended up in the landfills managed by WasteServ the entity felt it should do things differently and explicitly prohibited bidders from dumping any excavation material generated The ensuing hill is thus a temporary stockpile which is being managed by the winning bidder in storage which the spokesperson clarified was covered by the relevant permits This material is now waiting to be crushed in various grades so that it may be reused by the construction industry the spokesperson confirmed that some of the material has already started to be reused “ Therefore the only new ‘ hill ’ is a temporary storage of material intended to avoid goodgrade hard rock from being wasted ”,['Għargħur'],"[(1432, 1440, 'LOC')]"
PN to hold national protest on Wednesday,"May 16, 2023 6:55 PM",The Nationalist Party will be holding national protest outside parliament on Wednesday following the damning NAO report on the hospitals privatisation deal Speaking in parliament on Tuesday evening PN leader Bernard Grech said the protest is being called as prime minister Robert Abela continues to undermine the country ’ s institutions The Opposition has held a series of protests after court annulled the deal which it said was fraudulent in February The NAO report published on Monday concluded that former minister Konrad Mizzi granted Vitals Global Healthcare VGH authorisation to transfer the hospitals concession to Steward Healthcare SHC before seeking Cabinet ’ s approval It also said that Mizzi misled the Cabinet of ministers on the side agreement he concluded with Steward by which government would be liable to pay the company €100 million if a court annulled the contract In recent days the PN has asked police chief Angelo Gafa to launch a criminal investigation on the individuals involved in the deal including Mizzi and Muscat however the police force has so far failed to react Moreover on Monday Abela chose to respond to the damning report on the Steward Health Care concession before anyone – including journalists and members of the opposition – could actually read it by breaching parliamentary rules Abela ’ s apparent attempt to control the narrative on the embarrassing report saw him bring it up in parliament during debate on a completely unrelated subject The opposition had earlier rejected a suggestion to hold an urgent debate on Monday afternoon with government rejecting a suggestion to hold a debate on Tuesday and Wednesday Moreover on Tuesday the Labour Party held a press conference in which minister Jonathan Attard and parliamentary secretary Andy Ellul insisted that the report completely exculpated prime minister Robert Abela and his government What went unsaid perhaps is that this conclusion is a tacit admission that the same could not be said about Abela ’ s predecessor Joseph Muscat Though Muscat was not mentioned by the two politicians in their press conference at the Labour HQ – prime minister Abela has long studiously avoided mentioning his predecessor by name and his address to Parliament on Monday was no exception – their defence of the government effectively laid all ills concerning the concession on Muscat ’ s feet,['Attard'],"[(1751, 1757, 'LOC')]"
"Repubblika demands arrest of Muscat, Mizzi to prevent them from fleeing","May 16, 2023 3:07 PM",Tista ' taqra bil Malti Repubblika asked the magistrate conducting an inquiry into the hospitals privatisation deal with Vitals Global Healthcare to take note of the damning Auditor General report on the concession and if necessary order the immediate arrest of people who are preparing to abscond In comments to Newsbookcommt Repubblika president Robert Aquilina said “ we asked the inquiring magistrate to tale all the necessary action to prevent anyone involved in the ruse from fleeing the country ” He added that court must order the arrest of anyone who could be preparing to abscond as he named former disgraced former prime minister Joseph Muscat and former Labour ministers Konrad Mizzi and Chris Cardona The NGO also asked the magistrate to grant immunity to whoever was involved in the deal and is prepared to reveal their accomplices The NAO report published on Monday concluded that former minister Konrad Mizzi granted Vitals Global Healthcare VGH authorisation to transfer the hospitals concession to Steward Healthcare SHC before seeking Cabinet ’ s approval It also said that Mizzi misled the Cabinet of ministers on the side agreement he concluded with Steward by which government would be liable to pay the company €100 million if a court annulled the contract In a press conference outside the Valletta courthouse on Tuesday afternoon Aquilina underlined a number of findings in the NAO report including the “ unorthodox dynamic that persisted ” between Muscat and Mizzi Among others Aquilina said the NAO report found that Muscat and Mizzi ’ s actions hindered health minister Chris Fearne ’ s ability to negotiate with Steward Healthcare SHC “ The reluctance of the Minister for Tourism to step back from interactions with the SHC was detrimental to the Government ’ s interests for it created a weakness in its position all to evident to the SHC a weakness that – based on that noted by the Minister for Health – was readily exploited ” the NAO said Aquilina also pointed out that Muscat and Mizzi misled the Cabinet of ministers over the agreement that saw government act as guarantor of Steward Healthcare ’ s loan from Bank of Valletta While noting the “ complicity ” between former prime minister Joseph Muscat and Mizzi to mislead the Cabinet of ministers Repubblika asked the inquiring magistrate to order the Attorney General to issue an exemption from prosecution under the Permanent Commission Against Corruption Act for persons involved in the deal who are willing to reveal their accomplices Aquilina explained that former VGH director Ram Tumuluri had wanted to spill the beans on the secret deal adding that the report concluded that Tumuluri had been pressured in to transferring his shares to Steward The application filed this morning by lawyer Jason Azzopardi also asked the magistrate to prevent further destruction of the evidence and prevent the suspects from leaving the island with Aquilina saying that Repubblika was informed that preparations to abscond were already underway Describing the concession as an “ obscene ruse ” Aquilina said the NAO report also highlights the involvement of Muscat ’ s chief of staff Keith Schembri and Konrad Mizzi ’ s then permanent secretary Ronald Mizzi The NAO report Aquilina added states that Muscat and Mizzi ’ s ploy to mislead the Cabinet of ministers would not have been possible without Ronald Mizzi ’ s involvement In 2019 Repubblika had filed an application demanding a criminal probe into the VGH deal after the Criminal Court had quashed an order to hold a magisterial inquiry placing disgraced former ministers Konrad Mizzi Edward Scicluna and Chris Cardona under magisterial scrutiny Cardona had signed a memorandum of understanding with VGH in October 2014 months before a request for proposals was even issued for the concession to operate three of Malta ’ s state hospitals Repubblika had demanded a criminal probe to establish if there was criminal complicity by three ministers in the controversial contract which was then annulled by court in February 2023 In their application the activists had accused the three ministers of facilitating a “ coordinated ” “ act of modernday piracy ” “ corruption and money laundering among other crimes ” which saw VGH ’ s investor leave a debt of €50 million,"['Valletta', 'Valletta']","[(1314, 1322, 'LOC'), (2153, 2161, 'LOC')]"
