title,date,body
Grech: ‘The thieves are turning against each other’,"May 18, 2023 8:54 AM",Tista' taqra bil Malti PN leader Bernard Grech called his supporters on Wednesday as he said that the latest revelations on the fraudulent hospitals deal piloted by former prime minister Joseph Muscat showed that the corrupt are turning against each other Those who thought they were above the law Grech said in reference to Muscat and his former righthand men Keith Schembri and Konrad Mizzi “are hiding and blaming each other” Addressing a protest outside parliament on Wednesday evening Grech said “they are now turning against each other as thieves do” He added that the people “have a mission to give birth to a new Malta a clean Malta where our children can have the future they deserve” Grech recalled that slain journalist Daphne Caruana Galizia had exposed the deceit and corruption in the hospitals deal and said that “we can never stop honouring her” “She gave her life so we can know the truth we know today” Grech told protestors “We must never forget her” He also pointed out that a number of Maltese and foreign journalists are striving to uncover the truth about the “corrupt Labour government” “Journalists civil society Adrian Delia Simon Busuttil – these people have all contributed to ensure Daphne did not die in vain” he said The PN leader also saluted activists and civil society organisations that have for years strived to for justice and kept up the fight against corruption as he singled out Repubblika and Occupy Justice for their invaluable work Grech added that everyone who worked for the truth is either getting killed threatened or ridiculed The protest came after a a damning NAO report found that Mizzi and Muscat conspired to mislead the Cabinet of minister over various aspects of the concession deal which was annulled by court in February 2023 This was followed by revelations that Muscat received payments from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH “This shows that we are living in a mafia state where people are killed people are threatened and where people’s money is stolen to be given to criminals” the PN leader said “We are living in surreal times It is now the moment of truth the moment when we tell them that enough is enough” Grech told the crowd People have had enough of  the “corrupt government” Grech said as he urged people of all political hues to remain united to create a better future for the country “and ensure impunity does not reign” While insisting that the PN will not shy away from fighting corruption Grech said “we are not done we still have work to do and we must do this together We cannot continue to let them do as they please”
Archbishop Charles Scicluna denies ever being an Opus Dei member,"May 17, 2023 8:00 PM",The Church in Malta has denied allegations made by a blogger that Archbishop Charles Scicluna is a member of Opus Dei “In a recent blog post Simon Mercieca a professor of history at the University of Malta alleged that Archbishop Charles Scicluna is a member of Opus Dei” the Curia said in a statement on Wednesday “This is totally untrue Contrary to the misleading statement made by Prof Mercieca the Archbishop is not and never has been a member of Opus Dei” the statement added
"‘No one believes you’ on hospitals fiasco, Grech tells Labour MPs","May 17, 2023 7:43 PM",Nationalist Party leader Bernard Grech insisted on Wednesday that no one believed what the Labour Party in government was saying on the hospitals concession granted to Vitals passed on to Steward and cancelled by the courts not least since the latest revelations saw the key protagonists openly contradict each other Grech and other PN MPs starting with Adrian Delia completely disregarded the agenda of Wednesday’s parliamentary sitting instead focusing solely on hospitals concession following revelations made by the Times and the Shift in collaboration with the Organised Crime and Corruption Reporting Project including that former PM Joseph Muscat received money from a firm that was previously called VGH Europe – an apparent reference to Vitals Global Healthcare A few minutes into Delia’s speech – the televised broadcast does not make clear whether he did so of his own accord or in response to informal complaints from the government benches – deputy speaker and PN MP David Agius reminded Delia that the standing orders governing Parliament had not changed and that these required MPs to ensure that their speeches were on topic Delia was undeterred and continued speaking out of order prompting complaints from MP Edward Zammit Lewis which drew a pointed reply from Agius who recalled that PM Robert Abela similarly ignored parliamentary procedure to react to a damning National Audit Office report on the hospitals deal before the public could properly read it “I acted as the Speaker had done two days ago with respect to the prime minister and everyone who spoke after him whose address was not relevant to the agenda of the day” he said before telling Delia that he may continue his address Grech said that the Maltese “are living in surreal times” having to deal shocking revelations while the key government figures were nowhere to be seen He repeatedly highlighted that only a few government MPs were present in the chamber He said that he was not addressing parliament to explain how the hospitals deal was the “greatest fraud that has ever happened in this country” that Abela has lied and that his government was preventing the country’s institutions from doing their duty All of these he said were “a known fact” Instead he said looking straight at the cameras he wished to tell address those “who long for hope in politics and who have a right to hope” including the Labourites “who believed you” he added turning his face to the government benches “Those who had a dream and hoped that this country would move forward only to see you deliver a nightmare instead” he continued The PN leader also said that the latest revelations continue to show why Abela was the chosen successor of Muscat maintaining that Muscat needed someone to ensure the “continuity” that Abela had promised when he became prime minister “It is no wonder that Muscat needed Robert Abela to be his puppet so that he could continue doing as he pleases” he said But in this context Grech emphasised Abela was no victim not least because he was well aware of what he was getting into Grech recalled – as Delia had done earlier in the day – that in the Labour leadership election that saw him prevail over Chris Fearne Abela had maintained that his role as Muscat’s consultant saw him keep an eye on the goingson of every minister Grech also called out Fearne insisting that the health minister could not escape the responsibilities he had concerning the deal He said that Fearne “knows he was a participant and an enabler he knew what was going on and failed to lift a finger to stop the theft that was taking place” Both Fearne and Abela were well aware that Steward were not doing what they were obliged to he later added but they still continued giving it generous amounts of public funds The discussion – which was ostensibly on a bill which would see offences introduced through the latest cannabis reform handled by commissioners for justice rather than the courts – was wound down by justice minister Jonathan Attard who ended up devoting much of his speech to respond to the PN MPs who spoke out – particularly Grech and Delia In doing so Attard repeatedly indulged in an argument his party is fond of making the claim that the PN is split in two camps one backing Grech and the other Delia “The only surreal thing in here… is the opposition leader whose days are numbered” Attard insisted References to Delia prompted the MP to protest loudly prompting Attard to make a pointed remark at the former opposition leader “I know that Delia believes that this is his moment of glory that he can be reintegrated in the party after his own friends kicked him out but he is mistaken” the minister maintained The remark predictably did not help calm things down leading Agius to briefly suspend the sitting Attard also insisted that the opposition was holding the country hostage before concluding his speech by referring to the bill that parliament should have discussed
Tumuluri claims he was warned ‘he’d end up like Daphne’ by Keith Schembri,"May 17, 2023 6:55 PM",Former Vitals Global Healthcare direct Ram Tumuluri agreed to transfer the hospitals concession after receiving “death threats of ending up like Daphne Caruana Galizia” by former prime minister Joseph Muscat’s righthand man Keith Schembri Tumuluri made the claim in an official disclosure to the US authorities which was obtained by the Organised Crime and Corruption Reporting Project and shared with partners in Malta The Shift and The Times of Malta The shocking claims come as Tumuluri wants whistleblower protection in the US to reveal alleged coercion threats and corrupt practices by disgraced firmer prime minister Joseph Muscat’s government in the hospitals deal According to the reports published on Wednesday evening Tumuluri filed a whistleblower complaint to the US Securities and Exchange Commission SEC alleging violations of the Foreign Corrupt Practices Act In his complaint Tumuluri alleged that he was repeatedly threatened by Schembri and others that he would meet the same end as journalist Daphne Caruana Galizia if he didn’t sign the hospitals’ concession over to Steward Healthcare The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “fraudulent” Tumuluri claimed the threats were made by Schembri thenhealth minister Konrad Mizzi and one of the concession’s original brokers Shaukat Ali among others In March 2015 journalist Daphne Caruana Galizia had first reported that the government had struck a deal with Oxley Capital Group of Singapore ahead of the call for proposals for the privatisation of three of Malta’s state hospitals and that representatives of the company – including Ram Tumuluri – had visited Malta two months earlier for meetings The concession agreement covering the running of St Luke’s Karin Grech and Gozo General Hospitals was awarded to VGH in 2015 The deal was later described as “collusion” between the government in the pretender phase The former VGH director also said that Muscat played a role in what Tumuluri claims was a forced handover of the concession to Steward for €1 Both Muscat and Schembri denied the claims Tumuluri also accused Steward Healthcare of engaging in unlawful activity with the government of Malta and insisted he only signed the concession over because he was made to fear for his life by government officials and others working on their behalf The 505page complaint includes an affidavit from Tumuluri and hundreds of pages of supporting documents such as internal emails contracts and project plans In his complaint to US authorities Tumuluri said the threats lasted through the period of the journalist’s assassination in October 2017 until he eventually caved into demands in December 2017 and signed the concession over because he feared his life and that of his family would be in danger if he didn’t According to Tumuluri’s disclosure Schembri warned him that “he is the law in Malta” and that no agreement could protect Tumuluri’s interest Schembri allegedly warned that “if the government could silence a vocal reporter like Ms Caruana Galizia Mr Tumuluri should be very careful not to make enemies with the government” Moreover Tumuluri alleged that during a meeting at Castille Schembri told him “You know what happened with Daphne Caruana Galizia and you don’t want to end up in that position You want us to be a friend not a foe” Tumuluri also disclosed several meetings in which he alleges his life had been threatened and claims he was pulled aside afterwards from one such meeting  by Mizzi who warned him “Don’t force these guys to go to that level”
"Gozitans collect €65,000 for earthquake stricken Turkey and Syria","May 17, 2023 6:23 PM",The Diocese of Gozo through the Caritas Office has collected the sum of €65000 in aid of earthquake victims and survivors in Turkey and Syria Over 55000 people were killed by an earthquake that struck southeastern Turkey and parts of Syria in February leaving thousands more without a home The donations were collected during a campaign held in all the parishes and churches in Gozo organised by the Caritas Office within the diocese The money was sent to the Pope’s Office of Charity the Apostolic Almshouse in the Holy SeeThe Diocese of Gozo thanked all those who contributed to this campaign
European and local elections to be held on 8 June 2024,"May 17, 2023 4:15 PM",Tista' taqra bil Malti Malta will be going to the polls on Saturday 8 June 2024 with voters expected to cast their ballots for the European and local elections This comes as European Parliament president Roberta Metsola announced on Wednesday that elections will be held in the 27 EU member states between the 6 and 9 June 2024 Malta will also be holding local elections next year and these are expected to be held on the same day Traditionally elections in Malta are held on a Saturday with early voting for those who will be abroad being offered a week before In a video message disseminated on Twitter Metsola urged voters across the bloc to shape the future of the EU and go out and vote “It’s time To reform To change To keep listening keep explaining and keep delivering To recapture the sense of hope and possibility that the EU offers You have the chance to choose… vote” she said It's timeTo reform To change To keep listening keep explaining and keep deliveringTo recapture the sense of hope and possibility that the EU offersYou have the chance to choose6th – 9th June 2024Vote pictwittercomR6WWjI7IP3 The elections will be the first since last year’s general election in which the Labour Party led by Robert Abela secured its third consecutive landslide victory In the last European elections in 2019 the Labour Party took four seats while the Nationalist Party elected two MEPs
IĠM calls on Abela to denounce illegal detention of journalists,"May 17, 2023 3:40 PM",The Institute of Maltese Journalists IĠM called on prime minister Robert Abela to denounce the illegal detention of journalists at Castille in 2019 This week a Court of Appeal overturned the acquittal of three men who had illegally detained a group of journalists – including two from Newsbookcommt – after a latenight cabinet meeting at the Auberge de Castille in November 2019 while widespread national antigovernment protests were ongoing The group of journalists which included Newsbook’s Monique Agius and Miguela Xuereb had been covering an extraordinary press conference that was called after the lengthy cabinet meeting in which Yorgen Fenech’s request for a presidential pardon had been discussed and rejected In a statement on Wednesday IĠM stressed that such ugly scenes should not be repeated and said it expects the government to “disassociate itself from these three bullies – Jody Pisani Mark Gauci and Emanuel McKay – who were found guilty of illegally detaining journalists following a press conference by the Prime Minister” Although court found the men guilty of carrying out an illegal arrest no action has been taken against officials at the Prime Minister’s Office then occupied by Abela’s predecessor Joseph Muscat On the day the three men who refused to identify themselves appeared to act as plainclothes security guards to keep the journalists from leaving the building “Not only were the journalists illegally detained but effectively silenced” IĠM said It added that it now expects the government to act to ensure that these men are not reengaged for government events “The authorities must ensure that similar incidents are not repeated and that journalists are allowed to go about doing their job with utmost freedom and respect and in an environment befitting the fourth estate of democracy”
PA starts demolishing illegal development in Pietà,"May 17, 2023 3:28 PM",The Planning Authority started removing illegal development adjacent to the Pietà Bocci Club which is located within a Grade 1 scheduled area on Wednesday morning The illegalities are subject to multiple enforcement notices and consist of excavations and unauthorised extensions to the existing building within parts of the scheduled military glacis In a statement the PA said the contravener not only ignored its enforcement notices and warnings but also carried out further illegal works “The Authority stepped in to start removing these illegal extensions at the full expense of the contravener” Prior to the operation the PA liaised with the Superintendence of Cultural Heritage SCH to ensure that the remedial works are carried out in a manner not to cause further damage to the scheduled area Due to the sensitivity of the operation and the difficult access to the site most of the works are being carried out manually The authority is being assisted by members of the Police Force
Muscat revelations ‘textbook case of money laundering’ – Repubblika,"May 17, 2023 2:13 PM",Anticorruption NGO Repubblika has once again asked an inquiring magistrate to consider issuing an order for the arrest of people involved in the fraudulent hospital concession deal before they can flee the country and justice In a press conference outside the courthouse in Valletta Repubblika president Robert Aquilina said that the NGO filed an application demanding the inquiring magistrate to include the latest revelations published on Wednesday The application filed by lawyer Jason Azzopardi also asks the magistrate to consider ordering the arrest of people involved in the deal with Aquilina reiterating that Repubblika is informed that “at least one or a number of people implicated in fraud corruption and other crimes that carry hefty sentences are making detailed preparations and possibly already putting in action plans to flee the country to dodge justice” Accusing disgraced former prime minister Joseph Muscat of “criminal association to launder money originating from corruption” Aquilina described it as a “textbook case of money laundering” Muscat’s income declarations and bank accounts have been analysed by financial investigators in a corruption probe into the hospitals’ deal which was requested by Repubblika in 2019 According to documents obtained by the Organised Crime and Corruption Reporting Project and shared with their partners in Malta – The Shift and The Times of Malta investigators are looking into payments Muscat received from a Swiss firm that was previously named VGH Europe and which is suspected of funnelling public funds back to the investors behind the Vitals Global Health Care Group VGH The hospitals concession was granted to VGH in 2015 while Muscat was prime minister The concession which was later transferred to Steward Healthcare was annulled by court in February of this year with the damning judgment describing the deal as “fraudulent” Aquilina said that the latest revelations show that Muscat granted a concession to VGH and these public funds were then passed on to a Swiss firm – Accutor AG – which in turn paid the former prime minister and another VGH investor “This gives off a very strong whiff of money laundering it seems that it is a textbook case of money laundering” Aquilina said According to The Times police commissioner Angelo Gafá has resisted carrying out any arrests before the ongoing magisterial inquiry into the deal has been concluded and all the evidence gathered during the fouryear probe handed to the police The investigations are largely being led by a team of local and foreign experts assembled by inquiring magistrate Gabriella Vella In this regard Aquilina said the police chief “is the biggest obstacle for justice to prevail in our country” “From what we have found out this morning not only is Gafá is failing to fulfil his duties as police chief but he is also hindering magistrates who are carrying out their job in full respect of their oath” He added that hours after the publication of these revelations Gafá has “remained silent and has not denied anything”
Police seek public’s assistance to locate wanted person,"May 17, 2023 11:45 AM",The police have called for the public’s assistance to trace down Aldiar Sarmiento Rojas who is wanted in relation to a public court case Anyone having any information about him should contact the police even anonymously pm tel21224001 or 119 or the nearest police station quoting number 152023 One can also contact the police via Messenger
