link,title,date,body,location,entities
https://www.maltatoday.com.mt/news/national/123058/claudette_buttigieg_claims_guide_dog_got_high_from_secondhand_cannabis_smoke_,Claudette Buttigieg claims guide dog got high from second-hand cannabis smoke,22/05/2023 18:21,Nationalist MPs Claudette Buttigieg and Graziella Attard Previ have hit out at the law regulating cannabis use saying since its enactment there has been a free-for-all when it comes to the substance ’ s consumption “ I know a blind person who was eating at a restaurant and in the smoking area his guide dog inhaled second hand cannabis smoke After the incident it could not assist its owner ” Nationalist MP Claudette Buttigieg claimed In December 2021 the Maltese parliament voted in favour of allowing the possession of up to 7g of cannabis and the growing of four plants at home It also provides for regulated clubs from where cannabis can be sold to registered members The MPs were speaking during a parliamentary debate on a legislative amendment allowing the ARUC – the regulatory body on cannabis association licensing – to issue administrative fines related to the substance “ Chaos and a free-for-all attitude have reigned in the country since the law regulating cannabis was enacted ” MP Graziella Attard Previ said Attard Previ said the law regulating cannabis has created a culture where substance use is widely accepted in society “ The consumption of drugs has increased widely Just look at the facts and the recent string of traffic fatalities the majority of drivers where under the influence of drugs ” she said The MP also explained how CBD joints are being sold from commercial establishments and are even being delivered on popular delivery apps like Bolt and Wolt Unlike its cousin THC CBD is not intoxicating or psychoactive Proponents of CBD oil and other CBD products claim that it can be used to treat conditions such as chronic pain inflammation migraines epilepsy autoimmune diseases depression and anxiety She also lamented the opening up of new shops selling products for growing cannabis plants Public consumption of cannabis Both MPs lamented that since the law was enacted the public consumption of cannabis has increased MP Claudette Buttigieg said smelling cannabis smoke in public has become a common occurrence “ You can smell cannabis in Merchant ’ s Street Valletta regularly That is the state we are in ” She was echoing statements made earlier by Attard Previ who said consumption of the substance has been a common occurrence The MPs also lamented how despite government assurances people are smoking cannabis in front of their children “ This is serious You said this wouldn ’ t happen and now it is happening ” Buttigieg said ARUC Addressing the House Attard Previ questioned whether ARUC was equipped enough to carry out the needed regulation “ Government was happy in administering millions for a fraudulent hospitals deal but was not ready to allocate more than €200000 for ARUC ” she said “ Because for Labour votes are more important than society ’ s wellbeing ” More to follow,"['Attard', 'Attard', 'Attard', 'Valletta', 'Attard', 'Attard']","[(50, 56, 'LOC'), (1009, 1015, 'LOC'), (1027, 1033, 'LOC'), (2096, 2104, 'LOC'), (2188, 2194, 'LOC'), (2496, 2502, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123055/mps_express_condolences_to_family_of_attard_car_crash_victim_,MPs express condolences to family of Attard car crash victim,22/05/2023 16:34,MPs Clayton Bartolo and Mario de Marco expressed their condolences to the family of Kacey Sciberras who tragically lost her life in an accident on Sunday morning Kacey 17 lost her life after the car she was in crashed into a pole in Attard Police officers who were doing late-night rounds in the area of St Thomas Chetcuti Street in Attard came across a wrecked car From preliminary investigations it results that a 20-year-old from St Paul ’ s Bay lost control of his Chevrolet Aveo and crashed into a pole Tourism Minister Clayton Bartolo said he attended a vigil organised by ITS students in honour of Kacey Sciberras He said the other female involved in the accident is also an ITS student and the institute is offering free counselling services to the victims ’ friends and their families De Marco also expressed his condolences in a supplementary parliamentary question READ ALSO ‘ Our flower ’ Father of Attard traffic accident victim pays tribute to his late daughter,"['Attard', 'Attard', 'Attard']","[(233, 239, 'LOC'), (333, 339, 'LOC'), (911, 917, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123049/our_flower_father_of_attard_traffic_accident_victim_pays_tribute_to_his_late_daughter_,‘Our flower’: Father of Attard traffic accident victim pays tribute to his late daughter,22/05/2023 13:06,Jason Sciberras the father of Kacey Sciberras who tragically lost her life in a late-night accident has spoken out for the first time since his daughter passed away in the early hours of Sunday “ To our flower you were a flower called Kacey you were a flower who was beautiful both from the inside and also from the outside a flower that knew how to love a flower that was respectful ” he said in an emotional Facebook post Kacey 17 lost her life after the car she was in crashed into a pole in Attard Police officers who were doing late-night rounds in the area of St Thomas Chetcuti Street in Attard came across a wrecked car From preliminary investigations it results that a 20-year-old from St Paul ’ s Bay lost control of his Chevrolet Aveo and crashed into a pole “ You were a flower always with a smile you were a flower with a beautiful face now our flower has gone to join other flowers in heaven ” Sciberras said “ As your father along with your mother brother and grandmother we will continue loving you until we meet again ” “ Love you Kacey ” the post concluded,"['Attard', 'Attard']","[(495, 501, 'LOC'), (595, 601, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123046/narrowing_car_lanes_without_proper_segregation_is_counterproductive_to_road_safety__rota,‘Narrowing car lanes without proper segregation is counter-productive to road safety’ - Rota,22/05/2023 11:57,Cycling NGO Rota has criticised road design decisions being taken by Infrastructure Malta in the wake of increasing traffic accidents and fatalities in the first quarter of 2023 This also comes at the heels of a seemingly frequent occurrence of road fatalities in the past few weeks In a press statement Rota responded to statements made by Infrastructure Malta IM CEO Ivan Falzon where he stated that in order to reduce drivers from speeding the agency narrowing lanes in areas that are frequented by pedestrians Rota highlighted how two years ago the NGO had proposed an alternative road plan for the Mrieħel bypass in response to IM ’ s widening of said bypass a plan which Rota had then opposed as it was deemed “ unnecessary overkill ” Instead Rota had proposed that the bypass be narrowed to cater for “ a segregated active mobility route towards Ħ'Attard and simultaneously take advantage of the existing service road on the other side to facilitate a parallel slower route for easy access to any point in the industrial area ” The NGO stated how narrowing lanes should not automatically mean that more lanes for cars are added adding that a lack of proper road segregation leads to higher speeds as it gives the impression of a wider road In fact Rota notes that while narrower lanes might slightly improve safety for drivers additional lanes are counter-productive to road safety as this is detrimental to the safety of pedestrians or cyclists Reference was also made to the lack of pedestrian crossings in major junctions as well as a poorly designed bicycle lane in Mgarr and a lack of direct crossings near the Luqa Airport junction Citing the record number of road fatalities in 2022 Rota notes that decision-makers must be proactive rather than reactive when it comes to safe road designs The NGO concludes by asking what actions are being taken to improve the current situation and what is being done by the Malta Road Safety Council and Transport Minister to address the issue,['Luqa'],"[(1623, 1627, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123025/over_250_academics_endorse_xebbajtuna_environmental_protest,Over 250 academics endorse 'Xebbajtuna!' environmental protest,22/05/2023 08:45,Over 250 academics have endorsed Xebbajtuna – the environmental protest being organised by Moviment Graffitti Friends of the Earth and several other NGOs in favour of a new economic model that prioritises quality of ife In a press statement the 256 academics state that Malta needs a systematic evaluation to assess the weaknesses and growing threats to quality of life and cultural and natural heritage The academics endorsing the protest include Maria Attard head of the University ’ s Institute for Climate Change and Sustainable Development economist Marie Briguglio Alex Torpiano architest and dean of the University ’ s Faculty for the Built Environment independent politician Arnold Cassola Eight organisations are behind a national protest that will be held on Saturday 27 May demanding urgent environmental and planning reform The protest - Xebbajtuna Bidla fl-Ambjent u l-Ippjanar ISSA Enough Planning and environmental changes now – will start from the Triton Fountain at 1030am The organisations launching the protest are Moviment Graffitti Friends of the Earth Malta Flimkien għal Ambjent Aħjar Din l-Art Ħelwa Nature Trust Malta-FEE Għawdix BirdLife Malta and Ramblers ’ Association Malta The NGOs will demand an immediate change to planning policies such as those allowing buildings on ODZ the height and intensity of buildings the height of hotels and the scheduling of sites of historic interest and value in order to stop the wave of construction that does not respect context heritage natural environment farmers and residents They are also demanding a radical reform of all institutions responsible for the environment planning and lands,['Attard'],"[(454, 460, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123015/carlo_stivala_eyes_15storey_hotel_at_sliema_ferries,Carlo Stivala eyes 15-storey hotel at Sliema Ferries,22/05/2023 06:30,Hotelier Carlo Stivala is proposing the development of a 15-storey hotel at the Sliema Ferries which will tower above the surrounding buildings The proposed development will replace a three to four-storey-high corner building that abuts onto Triq San Vincenz Although most of the buildings overlooking the Ferries now reach a height of nine floors Triq San Vicenz is still characterised by a row of old houses with a uniform height of three floors The proposed hotel will dwarf the buildings on this street The building in question is already committed for a residential project of nine floors in a permit issued to Carlo ’ s brother Michael Stivala in 2018 following another permit granted to a previous owner in 2016 The existing building hosts a Labour Party club which will be replaced by the new hotel The Labour Party has “ always rented and still rents ” the property party CEO Randolph de Battista told MaltaToday The building is now fully owned by Carlo Stivala according to a declaration made in the planning application The Labour Party already has another larger club in Sliema located in Triq Gafar As proposed the new three-star hotel designed by architect Robert Musumeci will retain most of the existing facade and will include 14 floors and a receded floor level The proposal also includes a restaurant at ground floor level offices meeting and conference rooms in the first four levels hotel rooms at levels 5 to14 and a bar and pool area on the receded floor level Residents had strongly objected to the first application presented by Adrian Deguara in 2015 to demolish the existing third floor level and construct five new floors and a penthouse Objections mainly concerned the impact of the higher building on Triq San Vincenz The case officer had at the time also recommended refusal as the proposed development did not comply with sanitary regulations which did not permit an eight-storey building in the narrow width of St Vincent Street The PA ’ s internal heritage panel had also warned that the proposed height of eight floors on the side street would have a negative impact on the streetscape and the characteristic buildings situated there Nonetheless the development was approved by the Planning Commission and an appeal against approval was thrown out by the Environment and Planning Review Tribunal In 2018 the PA approved another application submitted by new owner Michael Stivala to change the receded floor into a full floor The site is located on a corner and a small part of it is located within the Urban Conservation Area and the Sliema primary town centre In 2021 Carlo Stivala had pro- posed a 14-storey hotel instead of Palazzina Vincenti a modernist building in St Julians which was included in the list of protected buildings last month The scheduling of the building means that Stivala will not be allowed to demolish the building and would have to radically change his plans,"['Sliema', 'Sliema', 'Sliema']","[(80, 86, 'LOC'), (1083, 1089, 'LOC'), (2569, 2575, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123018/bernard_grech_steward_renegotiation_deal_failed_after_senior_civil_servants_refused_to_sign_it,Bernard Grech: Steward renegotiation deal failed after senior civil servants refused to sign it,21/05/2023 14:03,Opposition leader Bernard Grech alleged that renegotiation agreements with Steward failed after senior civil servants refused to sign the contract The Opposition leader was interviewed on NET TV on Sunday morning after the Nationalist Party postponed its planned event in Sliema due to the weather conditions Grech said that it is “ evident ” that Prime Minister Robert Abela is dealing with severe issues with his predecessor Joseph Muscat ’ s compromises having created major problems for the party He added that Muscat is continuously issuing warnings to Abela and threatening to bring him down if he was prosecuted “ The nation deserves nothing but the truth it deserves a health service of the highest quality ” the PN leader said Grech said that the NAO report on the hospitals ’ concession revealed that Abela had tried to re-negotiate the deal with Steward in Castille when he came Prime Minister in the presence of Joseph Muscat “ It is evident that they tried to lie and cover up the true picture to the NAO investigators The renegotiation agreement with Steward that Abela says that he had nothing to do with stopped at the eleventh hour after the State Advocate told them that what they were doing was illegal ” Grech said He also revealed that another reason why the negotiations broke down was that individuals high up in the civil service refused to sign the new contract “ They stood up to Robert Abela and Chris Fearne despite their insistence If it was up to them they would have signed the new agreement with Steward ” Grech said The Opposition Leader said that when his party states that “ you are the one to pay for corruption ” it means that the over €400 million paid to Vitals and Steward by the taxpayers was never invested in the national health sector He said that the Labour government almost doubled the national debt from €5 billion to €9 billion in 10 years In an obvious dig at the infamous “ Malta Tagħna Lkoll ” Malta belongs to all of us Labour Party 2013 slogan Grech said that “ we have to understand that this country belongs to all of us the environment the historical places the historical heritage our reputation our health – belong to all of us ”,['Sliema'],"[(272, 278, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123016/i_was_elected_party_leader_to_do_things_differently_and_i_will_remain_true_to_my_word__robert_abela,I was elected party leader to do things differently and I will remain true to my word' - Robert Abela,21/05/2023 12:35,Prime Minister Robert Abela said that he will remain true to his word when he was elected party leader and do things differently During a Labour Party event in Marsaxlokk on Sunday morning Abela said that if his government did not do things differently it would be breaking the promise made to the nation prior to the 2022 election The Muscat legacy keeps haunting the Abela administration after investigations revealed that the former Labour Prime Minister was set to receive €540000 for consultancies for a company linked to the hospitals deal Abela said that the third National Audit Office report on the hospitals deal tabled in parliament on Monday confirmed and proved that the Labour government was “ working differently ” The audit in the report found that former minister Konrad Mizzi had granted VGH authorisation to transfer the hospitals ' concession to Steward Healthcare before seeking Cabinet ’ s endorsement The PM said that he always insisted that the hospitals ' concession saga had to be analysed before any decisions were taken “ This week ’ s NAO proves this We were consistent and firm with Steward Healthcare and we constantly delivered a message that obligations had to be honoured ” Abela said He criticised the Opposition for “ refusing to discuss ” the report saying that they don ’ t want a debate since “ they know they lied when they said we did nothing about the hospitals deal ” “ Their political philosophy is that the only way they could regain the nation ’ s trust is by destroying all the work that we are doing to move the nation forward ” the PM said Abela said that the Maltese trusted the Labour Party again after it showed that it could deliver change He spoke of his government ’ s “ achievements ” mentioning job creation lower utility bills and the tax rebate cheques The PM also said that 48000 financially vulnerable families benefitted from the new cost-of-living mechanism Abela spoke about this week ’ s MED9 summit in Malta and said that the country will be a leader in Europe ’ s decarbonization by pushing forward innovative and ambitious projects He congratulated his deputy and Health Minister Chris Fearne on his appointment as President of the World Health Organisation assembly “ I am proud of Deputy Prime Minister Chris Feane ’ s achievement today A very prestigious achievement for the nation and the party ” Abela said,['Marsaxlokk'],"[(160, 170, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123013/kacey_sciberras_identified_as_victim_of_sundays_fatal_central_link_crash,Kacey Sciberras identified as victim of Sunday's fatal Central Link crash,21/05/2023 09:58,Kacey Sciberras has been identified as the 17-year-old girl that tragically lost her life in the early hours of Sunday in a traffic accident in Attard Kacey lost her life and another two individuals suffered grievous injuries after the car that they were in crashed into a pole on the Central Link Road at 3am The Committee of feast of Mary Queen of the Martyrs in St Paul ’ s Bay offered its condolences to the family of Kacey who was an active member of the youth committee They also appealed for prayers for another individual who is receiving treatment at the Intensive Care Unit following the same accident,['Attard'],"[(144, 150, 'LOC')]"
https://www.maltatoday.com.mt/news/national/123001/maltatoday_survey_out_on_sunday,MaltaToday survey out on Sunday,20/05/2023 15:39,MaltaToday ’ s survey will be out on Sunday as we track people ’ s voting intentions and gauge the trust enjoyed by Robert Abela and Bernard Grech The survey comes two months after a similar polling exercise held in March when the Labour Party and Robert Abela slumped to their worst results ever Get the full results in the print edition along with stories that touch on the current political controversy surrounding the hospitals concessionAnd with Malta hooked to Love Island we give the show some tender loving care with input from academics Get to know about the latest hotel development in Sliema and read what our regular opinion writers have to say Get your print edition from your favourite newsagent,['Sliema'],"[(596, 602, 'LOC')]"
